OBJECTID;Time;District;Population
1;2022-12-31;11 Aegidii;1449
2;2022-12-31;12 Überwasser;1377
3;2022-12-31;13 Dom;2348
4;2022-12-31;14 Buddenturm;2542
5;2022-12-31;15 Martini;1319
6;2022-12-31;21 Pluggendorf;4618
7;2022-12-31;22 Josef;8678
8;2022-12-31;23 Bahnhof;1700
9;2022-12-31;24 Hansaplatz;7227
10;2022-12-31;25 Mauritz-West;6431
11;2022-12-31;26 Schlachthof;6035
12;2022-12-31;27 Kreuz;12703
13;2022-12-31;28 Neutor;5506
14;2022-12-31;29 Schloss;2502
15;2022-12-31;31 Aaseestadt;5989
16;2022-12-31;32 Geist;9279
17;2022-12-31;33 Schützenhof;8196
18;2022-12-31;34 Düesberg;7144
19;2022-12-31;43 Hafen;1114
20;2022-12-31;44 Herz-Jesu;5306
21;2022-12-31;45 Mauritz-Mitte;10543
22;2022-12-31;46 Rumphorst;9476
23;2022-12-31;47 Uppenberg;9145
24;2022-12-31;51 Gievenbeck;21768
25;2022-12-31;52 Sentrup;8081
26;2022-12-31;54 Mecklenbeck;10714
27;2022-12-31;56 Albachten;6508
28;2022-12-31;57 Roxel;9386
29;2022-12-31;58 Nienberge;7040
30;2022-12-31;61 Coerde;11177
31;2022-12-31;62 Kinderhaus-Ost;5374
32;2022-12-31;63 Kinderhaus-West;10767
33;2022-12-31;68 Sprakel;3680
34;2022-12-31;71 Mauritz-Ost;11507
35;2022-12-31;76 Gelmer-Dyckburg;4063
36;2022-12-31;77 Handorf;8163
37;2022-12-31;81 Gremmendorf-West;6012
38;2022-12-31;82 Gremmendorf-Ost;6537
39;2022-12-31;86 Angelmodde;8751
40;2022-12-31;87 Wolbeck;10646
41;2022-12-31;91 Berg Fidel;5857
42;2022-12-31;95 Hiltrup-Ost;6172
43;2022-12-31;96 Hiltrup-Mitte;10250
44;2022-12-31;97 Hiltrup-West;9493
45;2022-12-31;98 Amelsbüren;6868
